fpr,tpr,thresholds
0.0,0.0,inf
0.00010509721492380452,0.0,0.7249085051293391
0.00021019442984760903,0.0,0.7243689598615342
0.00021019442984760903,0.002061855670103093,0.7219841509014261
0.004203888596952181,0.002061855670103093,0.6936793350773683
0.004203888596952181,0.004123711340206186,0.6932287605986924
0.00441408302679979,0.004123711340206186,0.6929325103484103
0.00441408302679979,0.008247422680412371,0.6928706402325489
0.005044666316342617,0.008247422680412371,0.6921470562657356
0.005044666316342617,0.010309278350515464,0.6919123201167651
0.006200735680504467,0.010309278350515464,0.689480713864443
0.006200735680504467,0.012371134020618556,0.6892522485408574
0.006621124540199684,0.012371134020618556,0.6887658760875814
0.006621124540199684,0.01443298969072165,0.688716272985147
0.006936416184971098,0.01443298969072165,0.6881406231032542
0.006936416184971098,0.016494845360824743,0.6880645913066368
0.009248554913294798,0.016494845360824743,0.685628687471486
0.009248554913294798,0.018556701030927835,0.6852968116896357
0.00956384655806621,0.018556701030927835,0.6849212938664909
0.00956384655806621,0.020618556701030927,0.6846469761731667
0.010719915922228061,0.020618556701030927,0.6829223323265624
0.010719915922228061,0.02268041237113402,0.6823532935036458
0.011350499211770887,0.02268041237113402,0.6814049335718021
0.011350499211770887,0.024742268041237112,0.6810862180525904
0.017341040462427744,0.024742268041237112,0.6757525298273654
0.017341040462427744,0.026804123711340205,0.6756095014914625
0.01786652653704677,0.026804123711340205,0.6751799856485369
0.01786652653704677,0.030927835051546393,0.675144634054099
0.01797162375197057,0.030927835051546393,0.6750191539734772
0.01797162375197057,0.032989690721649485,0.674996626706942
0.018497109826589597,0.032989690721649485,0.6745674311740619
0.018497109826589597,0.03505154639175258,0.6745511474063082
0.019863373620599055,0.03505154639175258,0.6736208960767534
0.019863373620599055,0.03711340206185567,0.6736019981421235
0.020178665265370467,0.03711340206185567,0.6735105410170055
0.020178665265370467,0.03917525773195876,0.6735037469819212
0.020914345769837098,0.03917525773195876,0.672843241915871
0.020914345769837098,0.041237113402061855,0.6727757721416963
0.02207041513399895,0.041237113402061855,0.6715662959040664
0.02207041513399895,0.04329896907216495,0.6715496741743132
0.02228060956384656,0.04329896907216495,0.6712503830659771
0.02228060956384656,0.04536082474226804,0.6711463159843649
0.027325275880189175,0.04536082474226804,0.6681669008114913
0.027325275880189175,0.04742268041237113,0.668150340062949
0.02837624802942722,0.04742268041237113,0.6677404079747782
0.02837624802942722,0.049484536082474224,0.667703665933863
0.02953231739358907,0.049484536082474224,0.6666379731242453
0.02953231739358907,0.05154639175257732,0.6665834901869142
0.03373620599054125,0.05154639175257732,0.6642667188928604
0.03373620599054125,0.05360824742268041,0.6642505579801047
0.034261692065160276,0.05360824742268041,0.6636558938986711
0.034261692065160276,0.05567010309278351,0.6634675886747583
0.03741460851287441,0.05567010309278351,0.6616272871357438
0.03741460851287441,0.0577319587628866,0.6615565379209437
0.04014713610089333,0.0577319587628866,0.6603030349101623
0.04014713610089333,0.05979381443298969,0.6602950731031999
0.042879663688912245,0.05979381443298969,0.65883662088535
0.042879663688912245,0.061855670103092786,0.6588071713032051
0.044035733053074094,0.061855670103092786,0.6584355980228944
0.044035733053074094,0.06391752577319587,0.6584332153878591
0.044771413557540725,0.06391752577319587,0.6582617043567895
0.044771413557540725,0.06597938144329897,0.658233588306998
0.04487651077246453,0.06597938144329897,0.6580872032442892
0.04487651077246453,0.06804123711340206,0.6580465321676973
0.04519180241723594,0.06804123711340206,0.6579861863169059
0.04519180241723594,0.07010309278350516,0.6579496264072258
0.045507094062007356,0.07010309278350516,0.6578395421134924
0.045507094062007356,0.07216494845360824,0.6577778725610861
0.04813452443510247,0.07216494845360824,0.6566395990102081
0.04813452443510247,0.07422680412371134,0.656637617377976
0.05128744088281661,0.07422680412371134,0.6553288294239998
0.05128744088281661,0.07628865979381444,0.6552056404427384
0.05265370467682606,0.07628865979381444,0.654767013059604
0.05265370467682606,0.07835051546391752,0.6547183914221628
0.05444035733053074,0.07835051546391752,0.653600537200729
0.05444035733053074,0.08041237113402062,0.6535906125984668
0.05601681555438781,0.08041237113402062,0.6531229897805667
0.05601681555438781,0.08247422680412371,0.6530877630635779
0.05654230162900683,0.08247422680412371,0.6528766511440176
0.05654230162900683,0.0865979381443299,0.6528350474504485
0.05769837099316868,0.0865979381443299,0.652345050396683
0.05769837099316868,0.088659793814433,0.6523108846074972
0.058434051497635316,0.088659793814433,0.6520214676917803
0.058434051497635316,0.09072164948453608,0.6520033015212588
0.05906463478717814,0.09072164948453608,0.651552625574915
0.05906463478717814,0.09278350515463918,0.6515276389273816
0.059590120861797165,0.09278350515463918,0.6514263709841546
0.059590120861797165,0.09484536082474226,0.6514108923294508
0.059695218076720964,0.09484536082474226,0.6513338507579519
0.059695218076720964,0.09690721649484536,0.6513263422113539
0.060746190225959014,0.09690721649484536,0.6509755037791305
0.060746190225959014,0.09896907216494845,0.650948087560412
0.06127167630057803,0.09896907216494845,0.6508323569586154
0.06127167630057803,0.10103092783505155,0.6507984191540713
0.06400420388859696,0.10103092783505155,0.649562591972588
0.06400420388859696,0.10309278350515463,0.6495560712337854
0.06484498160798739,0.10309278350515463,0.64930801886611
0.06484498160798739,0.10515463917525773,0.64926216434241
0.06610614818707304,0.10515463917525773,0.6486947792374564
0.06610614818707304,0.10721649484536082,0.6486800451429078
0.06631634261692065,0.10721649484536082,0.6486689729588722
0.06631634261692065,0.10927835051546392,0.6486176235250041
0.0675775091960063,0.10927835051546392,0.6482542477339981
0.0675775091960063,0.11134020618556702,0.648149810722927
0.06925906463478718,0.11134020618556702,0.6473263644772913
0.06925906463478718,0.1134020618556701,0.6472325844758261
0.07188649500788229,0.1134020618556701,0.6465605652856085
0.07188649500788229,0.1154639175257732,0.6465196164975147
0.0719915922228061,0.1154639175257732,0.6465171309497535
0.0719915922228061,0.11752577319587629,0.6465114432240042
0.07756174461376773,0.11752577319587629,0.6445801944116482
0.07756174461376773,0.11958762886597939,0.6445697893536927
0.07976878612716763,0.11958762886597939,0.6438853021706615
0.07976878612716763,0.12164948453608247,0.643884274449373
0.08134524435102469,0.12164948453608247,0.6433287278435592
0.08134524435102469,0.12371134020618557,0.6432831813620937
0.08218602207041513,0.12371134020618557,0.6429861926446286
0.08218602207041513,0.12577319587628866,0.6429743549442896
0.08712559117183395,0.12577319587628866,0.6413225243945281
0.08712559117183395,0.12783505154639174,0.6412894277626683
0.08765107724645296,0.12783505154639174,0.6411769472796616
0.08765107724645296,0.12989690721649486,0.6411699705314599
0.0884918549658434,0.12989690721649486,0.6409057744253115
0.0884918549658434,0.13195876288659794,0.6407399881082084
0.08880714661061481,0.13195876288659794,0.6406700862798337
0.08880714661061481,0.13402061855670103,0.6406041224290948
0.09174986862848135,0.13402061855670103,0.6396196112173573
0.09174986862848135,0.1360824742268041,0.6395870186513709
0.09364161849710982,0.1360824742268041,0.638736041717479
0.09364161849710982,0.13814432989690723,0.6387190739051373
0.09437729900157646,0.13814432989690723,0.6384093590207581
0.09437729900157646,0.1402061855670103,0.6383907269319254
0.09469259064634787,0.1402061855670103,0.6383506082500253
